gdp_final,social_support,health_final,freedom_final,generosity,corruption_final,cluster
1.148,1.454,0.671,0.363,0.092,0.066,2
1.294,1.462,0.988,0.553,0.079,0.15,2
1.09,1.387,0.684,0.584,0.245,0.05,2
0.819,1.493,0.693,0.575,0.096,0.031,2
1.266,1.204,0.955,0.244,0.175,0.051,0
1.229,1.211,0.909,0.495,0.179,0.154,2
1.151,1.479,0.599,0.399,0.065,0.025,2
1.143,1.516,0.631,0.454,0.148,0.121,2
1.229,1.191,0.909,0.423,0.202,0.035,2
0.751,1.223,0.508,0.606,0.141,0.054,2
1.2,1.532,0.737,0.553,0.086,0.174,2
0.835,1.522,0.615,0.541,0.162,0.074,2
0.934,1.249,0.674,0.53,0.092,0.034,2
0.855,1.23,0.578,0.448,0.274,0.023,2
0.657,1.301,0.62,0.232,0.171,0.0,2
1.016,1.533,0.517,0.417,0.199,0.037,2
1.171,1.401,0.732,0.259,0.061,0.022,2
0.985,1.35,0.553,0.496,0.116,0.148,2
0.775,1.312,0.513,0.643,0.12,0.105,2
0.62,1.205,0.622,0.459,0.197,0.074,2
1.039,1.498,0.7,0.307,0.101,0.154,2
1.148,1.38,0.686,0.324,0.106,0.109,2
0.652,0.81,0.424,0.334,0.216,0.113,0
1.405,1.29,1.03,0.524,0.246,0.291,2
1.188,1.429,0.884,0.562,0.055,0.017,2
0.975,1.369,0.685,0.288,0.134,0.043,2
1.154,1.202,0.879,0.131,0.0,0.044,0
0.965,1.179,0.785,0.503,0.214,0.136,2
1.017,1.279,0.729,0.259,0.111,0.081,2
1.115,1.161,0.737,0.38,0.12,0.039,0
0.982,1.441,0.614,0.578,0.12,0.106,2
0.979,1.154,0.687,0.077,0.055,0.135,0
0.779,0.797,0.669,0.46,0.026,0.074,0
0.989,1.142,0.799,0.597,0.029,0.103,2
1.024,1.161,0.603,0.43,0.031,0.176,2
0.474,1.166,0.598,0.292,0.187,0.034,0
0.959,1.239,0.691,0.394,0.173,0.052,2
0.822,1.265,0.645,0.468,0.13,0.134,2
0.689,1.172,0.048,0.462,0.201,0.032,2
0.53,1.416,0.594,0.54,0.281,0.035,2
0.915,1.078,0.758,0.28,0.216,0.0,0
0.914,1.517,0.575,0.395,0.253,0.032,2
0.715,1.365,0.702,0.618,0.177,0.079,2
0.899,1.215,0.522,0.538,0.484,0.018,2
0.796,1.335,0.527,0.541,0.364,0.171,2
0.0,0.712,0.115,0.674,0.238,0.282,0
0.535,0.891,0.182,0.454,0.183,0.043,0
1.054,1.515,0.712,0.359,0.064,0.009,2
0.425,1.228,0.539,0.526,0.302,0.078,2
0.996,1.469,0.657,0.133,0.056,0.052,2
1.036,1.164,0.404,0.356,0.032,0.052,0
0.642,1.217,0.602,0.266,0.086,0.076,0
0.94,1.41,0.33,0.516,0.103,0.056,2
1.059,0.771,0.691,0.459,0.282,0.129,0
0.541,0.872,0.08,0.467,0.146,0.103,0
0.592,0.896,0.337,0.499,0.212,0.029,0
0.429,1.117,0.433,0.406,0.138,0.082,0
0.72,1.034,0.441,0.626,0.23,0.174,2
0.9,0.906,0.69,0.271,0.04,0.063,0
0.916,0.817,0.79,0.419,0.149,0.032,0
0.256,0.813,0.0,0.355,0.238,0.053,0
0.682,0.811,0.343,0.514,0.091,0.077,0
0.532,0.85,0.579,0.58,0.153,0.144,0
0.918,1.314,0.672,0.585,0.307,0.05,2
1.01,0.971,0.536,0.304,0.148,0.095,0
0.37,1.233,0.152,0.367,0.139,0.056,2
0.874,1.281,0.365,0.519,0.051,0.064,2
0.549,1.088,0.457,0.696,0.256,0.065,2
0.314,1.097,0.254,0.312,0.175,0.128,0
0.885,1.025,0.553,0.312,0.092,0.107,0
0.198,0.902,0.173,0.531,0.206,0.158,0
0.493,1.048,0.454,0.504,0.352,0.055,0
0.562,1.047,0.295,0.503,0.221,0.082,0
0.557,1.245,0.292,0.129,0.134,0.093,0
0.308,0.95,0.391,0.452,0.22,0.146,0
0.853,0.592,0.643,0.375,0.038,0.215,0
0.816,0.99,0.666,0.26,0.077,0.028,0
0.682,1.174,0.429,0.58,0.598,0.178,2
0.358,0.907,0.053,0.189,0.181,0.06,0
0.069,1.136,0.204,0.312,0.197,0.052,0
0.721,0.747,0.485,0.539,0.172,0.093,0
0.131,0.867,0.221,0.39,0.175,0.099,0
0.322,1.09,0.237,0.45,0.259,0.061,0
0.378,0.372,0.24,0.44,0.163,0.067,0
0.605,1.24,0.312,0.016,0.134,0.082,0
0.793,1.413,0.609,0.163,0.187,0.011,2
0.259,0.474,0.253,0.434,0.158,0.101,0
0.344,0.792,0.211,0.394,0.185,0.094,0
0.472,1.215,0.079,0.423,0.116,0.112,2
0.73,1.125,0.269,0.0,0.079,0.061,0
0.262,0.908,0.402,0.221,0.155,0.049,0
0.357,1.094,0.248,0.406,0.132,0.099,0
0.332,0.537,0.255,0.085,0.191,0.036,0
1.017,1.174,0.417,0.557,0.042,0.092,2
0.186,0.541,0.306,0.531,0.21,0.08,0
0.315,0.714,0.289,0.025,0.392,0.104,0
0.076,0.858,0.267,0.419,0.206,0.03,0
0.689,0.382,0.539,0.088,0.376,0.144,0
0.332,0.896,0.4,0.636,0.2,0.444,0
0.442,1.073,0.343,0.244,0.083,0.064,0
0.455,0.991,0.381,0.481,0.27,0.097,0
0.337,0.608,0.177,0.112,0.224,0.106,0
0.024,0.0,0.01,0.305,0.218,0.038,0
0.091,0.627,0.145,0.065,0.149,0.076,0
1.34,1.587,0.986,0.596,0.153,0.393,2
1.383,1.573,0.996,0.592,0.252,0.41,2
1.488,1.582,1.028,0.603,0.271,0.341,2
1.38,1.624,1.026,0.591,0.354,0.118,2
1.396,1.522,0.999,0.557,0.322,0.298,2
1.452,1.526,1.052,0.572,0.263,0.343,2
1.387,1.487,1.009,0.574,0.267,0.373,2
1.303,1.557,1.026,0.585,0.33,0.38,2
1.365,1.505,1.039,0.584,0.285,0.308,2
1.376,1.475,1.016,0.532,0.244,0.226,2
1.372,1.548,1.036,0.557,0.332,0.29,2
1.034,1.441,0.963,0.558,0.144,0.093,2
1.276,1.455,1.029,0.371,0.261,0.082,2
1.609,1.479,1.012,0.526,0.194,0.316,2
1.333,1.538,0.996,0.45,0.348,0.278,2
1.499,1.553,0.999,0.516,0.298,0.31,2
1.373,1.454,0.987,0.495,0.261,0.265,2
